WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2020-02-17,0,0,0,0,0,0,0,0,1743
2020-02-03,0,0,64,0,0,0,4,0,178
2020-02-10,0,0,0,0,0,0,0,0,736
2019-04-01,0,0,0,0,0,0,0,0,680
2020-03-02,0,0,0,0,0,0,0,0,1348
2020-03-09,4,0,0,0,1,0,0,0,3112
2020-06-08,6,1,4,0,1,1,1,0,103
2019-04-08,57,7,0,0,2,1,0,0,79
2020-06-01,97,0,355,4,3,0,8,1,50
2019-11-11,13,8,7,0,1,1,1,0,3379
2020-05-18,0,0,0,0,0,0,0,0,4915
2020-04-06,2,0,0,0,1,0,0,0,3624
2020-06-01,20,15,4,2,2,2,2,1,15
2020-01-06,33,0,0,0,1,0,0,0,3562
2020-07-06,34,0,0,0,1,0,0,0,1591
2020-04-20,0,0,0,0,0,0,0,0,1785
2020-05-04,94,0,106,1,3,0,2,1,204
2019-10-28,12,0,13,0,4,0,3,0,90
2019-02-18,68,1,9,0,7,1,2,0,107
2019-04-15,175,0,0,0,5,0,0,0,4
2019-07-15,17,1,1,0,2,1,1,0,2327
2019-09-16,207,39,16,0,3,2,4,0,79
2019-12-09,56,1,27,0,2,1,2,0,3947
2020-07-20,14,0,0,0,1,0,0,0,97
2020-03-23,11,7,9,0,3,2,2,0,145
2020-02-24,3,0,0,0,1,0,0,0,3562
2019-07-22,0,1,7,0,0,1,1,0,417
2020-07-20,0,0,0,0,0,0,0,0,188
2019-12-30,0,0,0,0,0,0,0,0,4374
2020-01-13,7,13,30,0,3,2,2,0,3608
2019-09-16,0,0,0,0,0,0,0,0,1713
2019-10-21,77,14,60,8,5,4,4,2,5
2020-04-27,538,2,63,1,12,2,5,1,115
2019-07-29,1,1,54,0,1,1,6,0,125
2020-05-18,0,0,0,0,0,0,0,0,214
2019-10-07,0,0,0,0,0,0,0,0,168
2019-11-18,25,0,20,0,1,0,1,0,1356
2019-09-09,117,38,39,0,3,2,3,0,79
2019-05-27,0,0,0,0,0,0,0,0,206
2019-05-27,0,0,0,0,0,0,0,0,3425
2019-11-18,0,0,0,0,0,0,0,0,2269
2019-12-02,0,0,0,0,0,0,0,0,3490
2020-07-13,0,0,0,0,0,0,0,0,3443
2020-06-08,0,0,0,0,0,0,0,0,764
2019-02-18,1,0,0,0,1,0,0,0,20
2020-06-01,0,0,0,0,0,0,0,0,138
2020-01-27,4,0,0,0,1,0,0,0,4699
2020-07-13,63,25,89,0,4,4,7,0,176
2020-04-20,0,0,0,0,0,0,0,0,4611
2020-01-06,1,0,0,0,1,0,0,0,3959
2020-06-29,1,5,0,0,1,1,0,0,1947
2019-11-11,234,8,196,0,6,4,7,0,111
2020-07-27,0,0,0,0,0,0,0,0,1650
2020-06-29,1,4,0,0,1,1,0,0,4602
2019-08-26,155,29,113,0,7,3,5,0,91
2019-12-30,0,0,0,0,0,0,0,0,192
2019-12-02,0,0,0,0,0,0,0,0,2523
2019-07-08,111,102,2,0,2,2,1,0,4129
2019-09-09,48,41,14,0,2,2,2,0,4602
2020-05-18,0,0,0,0,0,0,0,0,807
2020-02-24,1,0,1,0,1,0,1,0,175
2019-01-21,5,0,0,0,2,0,0,0,136
2020-06-29,0,0,0,0,0,0,0,0,1055
2020-05-18,0,0,4,0,0,0,1,0,5010
2020-01-20,0,0,0,0,0,0,0,0,4576
2019-11-18,0,0,0,0,0,0,0,0,4315
2019-07-08,0,0,0,0,0,0,0,0,197
2019-09-30,2,0,0,0,1,0,0,0,155
2019-11-18,16,0,1,0,1,0,1,0,1108
2020-01-27,933,0,0,1,28,0,0,1,19
2019-04-08,10,5,44,0,2,3,5,0,169
2019-06-24,0,0,0,0,0,0,0,0,3489
2019-11-11,59,0,0,0,1,0,0,0,3520
2019-12-30,273,16,0,0,4,1,0,0,126
2019-12-16,0,0,0,0,0,0,0,0,3664
2019-10-28,881,10,2189,63,34,6,40,9,148
2019-01-14,0,0,0,0,0,0,0,0,2207
2019-04-22,52,1,5,0,1,1,1,0,1753
2020-01-20,33,0,0,0,1,0,0,0,1487
2020-07-27,53,0,9,3,4,0,2,2,131
2019-12-02,0,0,0,0,0,0,0,0,4377
2020-02-10,0,0,0,0,0,0,0,0,3732
2019-10-07,14,0,0,0,1,0,0,0,1721
2020-03-23,69,156,98,0,6,6,3,0,135
2019-11-18,1,0,0,0,1,0,0,0,1270
2020-05-11,1,0,0,0,1,0,0,0,149
2019-10-07,0,1,25,0,0,1,1,0,3903
2019-10-28,0,0,0,0,0,0,0,0,2943
2019-04-08,12,1,0,0,1,1,0,0,1938
2020-07-20,36,8,0,5,4,2,0,2,2227
2020-02-17,17,0,4,0,1,0,1,0,3947
2020-07-27,152,52,27,0,11,10,5,0,69
2019-09-23,0,0,0,0,0,0,0,0,3440
2019-12-09,0,0,0,0,0,0,0,0,2228
2020-06-08,40,0,32,0,2,0,1,0,3906
2020-05-04,2,0,0,0,1,0,0,0,1356
2019-12-16,0,0,0,0,0,0,0,0,194
2019-09-09,15,0,0,0,1,0,0,0,122
2020-07-06,0,0,0,0,0,0,0,0,2621
2020-03-16,0,0,0,0,0,0,0,0,4077
2020-03-30,0,0,0,0,0,0,0,0,2814
2020-05-04,0,1,0,0,0,1,0,0,3749
2020-05-25,58,0,62,43,7,0,6,2,74
2019-08-05,10,0,0,0,3,0,0,0,4850
2020-04-06,0,0,20,0,0,0,3,0,1278
2020-05-18,3,0,0,0,1,0,0,0,4259
2020-02-17,205,667,565,2,14,14,14,2,167
2020-07-20,8,0,45,0,4,0,4,0,4140
2020-05-04,2,0,0,1,1,0,0,1,81
2019-09-02,98,85,0,0,2,2,0,0,7
2019-10-21,22,2,0,0,3,1,0,0,661
2019-06-10,81,2,12,15,4,2,3,2,2813
2020-03-09,0,0,0,0,0,0,0,0,949
2020-01-27,47,42,34,0,4,2,2,0,2427
2019-11-18,51,7,77,2,5,3,6,1,4436
2020-03-30,0,0,0,0,0,0,0,0,154
2019-11-11,0,0,0,0,0,0,0,0,2435
2019-11-11,55,3,6,0,2,1,2,0,2
2019-10-07,0,0,0,0,0,0,0,0,4892
2019-07-22,0,0,0,0,0,0,0,0,1568
2020-01-13,0,0,0,0,0,0,0,0,2928
2019-12-16,8,0,0,18,4,0,0,3,183
2020-06-08,396,50,57,0,16,11,9,0,3
2019-09-30,0,0,0,0,0,0,0,0,2599
2019-10-21,0,0,0,0,0,0,0,0,161
2019-07-29,13,1,42,0,2,1,2,0,2696
2020-06-22,0,0,0,0,0,0,0,0,130
2019-10-14,0,0,0,0,0,0,0,0,3458
2020-04-20,1,0,0,0,1,0,0,0,4248
2020-06-08,66,2,0,0,5,2,0,0,107
2019-05-13,0,1,0,0,0,1,0,0,490
2020-04-20,8,0,0,0,1,0,0,0,3075
2019-08-05,10,24,27,0,1,1,1,0,3291
2019-06-17,324,37,293,9,14,8,12,1,69
2019-01-21,0,0,0,0,0,0,0,0,1196
2019-05-27,0,0,0,0,0,0,0,0,2022
2019-09-02,459,154,77,9,7,4,6,2,52
2019-04-08,0,0,0,0,0,0,0,0,1458
2019-04-15,1,0,0,0,1,0,0,0,1503
2020-03-16,0,0,0,0,0,0,0,0,1329
2019-11-11,3,0,0,0,1,0,0,0,1984
2019-04-08,7,5,15,0,2,1,3,0,100
2019-07-08,0,0,0,0,0,0,0,0,478
2020-07-06,32,104,0,0,1,2,0,0,1756
2019-09-16,0,0,0,0,0,0,0,0,609
2019-01-28,0,0,0,0,0,0,0,0,627
2019-11-25,58,0,0,0,2,0,0,0,548
2020-03-30,0,0,0,0,0,0,0,0,2399
2020-04-20,0,0,0,0,0,0,0,0,3692
2019-10-07,4,2,0,0,1,1,0,0,4748
2020-06-01,2,0,0,0,1,0,0,0,456
2019-06-03,0,0,0,0,0,0,0,0,1017
2020-01-13,9,1,37,0,2,1,4,0,125
2019-11-18,11,16,29,0,3,5,5,0,3608
2020-05-25,0,0,0,0,0,0,0,0,770
2019-08-12,503,3,529,19,9,3,8,4,115
2020-02-10,50,0,0,4,3,0,0,1,128
2019-02-04,1,6,82,0,1,2,6,0,54
2019-05-13,30,0,7,8,6,0,4,1,146
2020-04-27,2,0,3,0,2,0,2,0,35
2019-12-23,35,0,0,0,1,0,0,0,3056
2019-09-30,3,0,0,0,1,0,0,0,1902
2020-03-30,0,0,0,0,0,0,0,0,4629
2020-02-17,0,0,0,0,0,0,0,0,2752
2019-12-16,5,0,0,0,1,0,0,0,2536
2019-01-07,2,6,0,0,1,1,0,0,827
2019-12-16,10,1,0,0,4,1,0,0,469
2020-06-22,30,10,2,0,2,1,1,0,97
2020-06-22,31,17,118,0,6,5,9,0,33
2019-02-18,0,0,0,0,0,0,0,0,2811
2020-06-15,1,0,0,0,1,0,0,0,5106
2020-03-23,0,0,0,0,0,0,0,0,1027
2019-11-11,0,0,0,0,0,0,0,0,98
2019-12-09,3,0,0,5,1,0,0,1,123
2019-09-09,1026,998,307,29,36,52,32,6,85
2020-02-10,18,30,0,0,1,1,0,0,4667
2020-01-13,0,0,0,0,0,0,0,0,850
2020-02-17,0,0,0,0,0,0,0,0,1794
2019-08-05,0,0,0,0,0,0,0,0,3493
2019-11-18,0,0,0,0,0,0,0,0,3051
2020-05-04,6,0,28,0,2,0,3,0,35
2020-04-13,0,0,0,0,0,0,0,0,2045
2019-06-17,1,0,0,0,1,0,0,0,197
2020-02-24,0,0,0,0,0,0,0,0,2045
2020-07-06,0,0,0,0,0,0,0,0,4906
2020-04-27,1,10,0,0,1,1,0,0,2544
2020-01-13,162,14,1,0,3,3,1,0,2770
2020-06-08,253,0,0,0,5,0,0,0,157
2019-11-04,1,0,0,0,1,0,0,0,182
2020-01-06,0,0,0,0,0,0,0,0,4455
2019-04-22,0,0,0,0,0,0,0,0,144
2019-11-11,0,0,0,0,0,0,0,0,3647
2019-07-15,833,0,491,0,5,0,9,0,58
2020-02-03,1,0,0,0,1,0,0,0,396
2020-05-25,4,1,19,0,1,1,3,0,143
2019-11-04,0,0,0,0,0,0,0,0,4972
2019-09-02,0,0,0,0,0,0,0,0,1606
2019-10-28,1,0,0,0,1,0,0,0,1897
2020-04-20,0,0,0,0,0,0,0,0,2535
2019-09-09,11,20,1,0,1,2,1,0,135
2020-02-17,0,0,0,0,0,0,0,0,3959
2019-03-18,6294,2,0,0,10,1,0,0,39
2019-06-03,0,0,0,0,0,0,0,0,188
2020-02-24,1,0,0,3,1,0,0,1,2
2019-11-04,0,0,0,0,0,0,0,0,4689
2019-07-15,17,28,9,0,4,3,3,0,102
2019-04-29,0,0,0,0,0,0,0,0,2293
2019-11-11,0,0,0,0,0,0,0,0,1813
2019-04-08,0,0,0,0,0,0,0,0,2165
2020-05-04,0,0,0,0,0,0,0,0,2444
2020-03-09,1,0,0,0,1,0,0,0,1682
2020-03-23,381,291,66,0,9,4,7,0,164
2019-08-26,92,15,160,1,7,4,6,1,174
2020-07-20,73,1,21,0,1,1,1,0,4787
2019-07-15,11,0,1,0,2,0,1,0,2911
2019-12-23,0,0,0,0,0,0,0,0,1522
2020-07-20,16,3,31,0,4,2,7,0,3608
2020-02-24,1,0,0,0,1,0,0,0,5108
2019-05-27,0,0,0,0,0,0,0,0,80
2020-02-03,73,0,0,0,1,0,0,0,1554
2019-05-27,0,0,0,0,0,0,0,0,969
2019-09-02,0,0,0,0,0,0,0,0,102
2019-10-28,0,0,3,0,0,0,1,0,3444
2020-05-18,97,8,19,0,5,3,3,0,1
2019-08-05,49,56,23,0,3,4,3,0,79
2019-04-08,0,0,0,0,0,0,0,0,982
2020-01-06,1,2,0,0,1,1,0,0,4129
2020-02-17,0,0,0,0,0,0,0,0,5055
2019-03-18,2,0,2,0,1,0,1,0,15
2019-08-12,0,0,0,0,0,0,0,0,3971
2020-05-25,94,12,12,1,4,2,4,1,2813
2019-12-30,0,0,0,0,0,0,0,0,7
2019-03-25,4,0,8,0,2,0,1,0,2166
2020-03-02,1,1,1,0,1,1,1,0,4949
2020-04-06,55,6,6,0,3,4,3,0,5
2020-07-20,31,0,78,0,1,0,1,0,4200
2020-07-20,1,0,8,0,1,0,2,0,1278
2020-06-22,81,0,1,0,3,0,1,0,2360
2019-02-18,182,3,16,1,3,1,1,1,2
2019-05-13,0,0,0,0,0,0,0,0,4412
2020-07-13,1458,1313,2,13,19,17,2,3,187
2019-08-05,308,591,131,2,16,16,18,2,167
2020-06-29,109,0,0,0,9,0,0,0,3505
2020-05-18,0,0,3,0,0,0,1,0,2446
2019-10-07,2,5,0,0,1,1,0,0,3503
2020-02-17,0,0,0,0,0,0,0,0,646
2019-12-23,0,0,3,0,0,0,1,0,3903
2019-08-19,765,4,25,7,6,2,3,3,50
2019-08-19,0,0,0,0,0,0,0,0,702
2019-12-02,35,6,24,0,2,1,2,0,4988
2019-12-16,5,0,0,0,1,0,0,0,163
2020-02-03,66,30,10,2,5,3,4,1,103
2020-03-30,0,0,0,0,0,0,0,0,74
2019-03-04,6241,0,5,27,12,0,4,3,39
2019-11-04,0,0,5,0,0,0,1,0,2476
2020-06-29,40,23,323,1,16,13,40,1,200
2020-04-06,57,0,205,3,5,0,6,1,2813
2019-06-03,0,0,0,0,0,0,0,0,2898
2020-07-20,131,3,0,0,1,1,0,0,2230
2019-12-09,234,379,93,3,16,15,14,1,167
2019-12-09,5,0,0,0,1,0,0,0,699
2020-05-04,1,0,0,0,1,0,0,0,3120
2019-06-10,21,2,0,0,1,1,0,0,2924
2020-04-13,910,0,1,2,22,0,1,1,19
2019-10-07,1,0,0,1,1,0,0,1,38
2020-05-18,58,5,0,15,2,2,0,1,2227
2020-06-15,121,84,144,0,3,3,3,0,45
2020-02-24,9,1,1,0,1,1,1,0,4916
2019-10-07,0,0,0,0,0,0,0,0,1681
2019-10-14,0,0,0,0,0,0,0,0,5195
2019-05-06,0,0,0,0,0,0,0,0,32
2020-02-03,0,0,0,0,0,0,0,0,3596
2019-03-11,2,0,0,0,1,0,0,0,20
2019-01-28,30,0,0,0,1,0,0,0,2447
2020-04-20,0,0,0,0,0,0,0,0,2549
2020-03-30,44,0,0,99,11,0,0,13,199
2019-04-22,0,0,0,0,0,0,0,0,5129
2020-06-08,0,1,1,0,0,1,1,0,2803
2020-07-13,10,0,0,0,1,0,0,0,1932
2019-09-23,90,2,442,1,13,2,22,1,200
2020-05-04,0,0,0,0,0,0,0,0,3301
2020-04-27,0,0,0,0,0,0,0,0,1889
2019-09-23,32,69,6,0,3,3,1,0,135
2020-04-20,0,0,6,0,0,0,1,0,3268
2019-09-23,0,0,0,0,0,0,0,0,3325
2019-06-17,2,0,0,0,1,0,0,0,3289
2020-02-24,0,0,0,0,0,0,0,0,5175
2019-01-07,0,0,0,0,0,0,0,0,4845
2020-06-01,28,0,6,0,1,0,2,0,4372
2019-12-16,301,828,9,0,5,4,2,0,71
2019-09-02,1,0,0,0,1,0,0,0,157
2019-08-12,1,0,0,0,1,0,0,0,70
2020-06-29,2,0,0,0,1,0,0,0,4826
2019-04-22,0,0,0,0,0,0,0,0,2781
2020-06-22,8,0,0,0,1,0,0,0,1292
2019-08-26,0,0,0,0,0,0,0,0,3715
2020-06-29,0,0,0,0,0,0,0,0,142
2019-10-28,1,3,0,0,1,1,0,0,78
2020-02-24,0,0,0,0,0,0,0,0,3717
2019-05-20,0,0,29,0,0,0,1,0,4691
2020-03-09,2,0,0,0,1,0,0,0,1085
2020-01-20,1,0,0,1,1,0,0,1,4878
2020-02-03,130,0,0,0,5,0,0,0,157
2019-12-09,0,0,0,0,0,0,0,0,99
2020-06-15,47,23,143,0,7,5,13,0,33
2019-07-08,55,0,0,3,4,0,0,1,109
2020-07-13,0,0,0,2,0,0,0,1,2099
2019-07-29,8,0,0,0,1,0,0,0,1470
2020-07-20,6,4,1,0,2,1,1,0,2740
2019-06-10,0,111,0,0,0,1,0,0,1731
2020-03-09,68,0,0,12,4,0,0,1,727
2020-06-15,3,0,0,0,1,0,0,0,949
2020-05-18,3,0,0,0,1,0,0,0,4077
2020-03-02,0,0,0,0,0,0,0,0,716
2019-10-21,0,0,0,0,0,0,0,0,302
2020-06-01,0,0,0,0,0,0,0,0,3153
2019-06-24,0,0,0,0,0,0,0,0,2327
2019-11-25,0,0,0,0,0,0,0,0,4007
2019-07-22,0,7,0,0,0,1,0,0,2039
2020-07-20,38,1,33,0,2,1,2,0,76
2019-12-09,0,0,2,0,0,0,1,0,3303
2020-06-22,288,33,1075,0,4,5,7,0,4691
2019-07-29,0,6,0,0,0,1,0,0,2039
2020-03-16,0,0,0,0,0,0,0,0,41
2019-12-16,0,0,0,0,0,0,0,0,168
2020-05-11,1,1,0,0,1,1,0,0,3159
2020-07-13,0,0,0,0,0,0,0,0,691
2020-05-11,0,0,0,0,0,0,0,0,99
2020-01-13,0,0,0,0,0,0,0,0,2626
2020-01-27,148,28,0,0,4,2,0,0,105
2019-07-08,0,0,0,0,0,0,0,0,2403
2019-06-24,0,0,0,0,0,0,0,0,88
2020-05-11,0,0,0,0,0,0,0,0,610
2020-04-20,3,0,0,0,1,0,0,0,995
2020-01-20,0,0,0,0,0,0,0,0,3930
2019-11-25,1,0,0,0,1,0,0,0,3498
2020-05-18,0,0,0,0,0,0,0,0,3117
2020-04-20,1098,0,44,7,21,0,7,1,119
2020-05-18,165,6,479,8,6,3,6,2,50
2019-03-18,0,0,0,0,0,0,0,0,88
2019-07-15,0,0,0,0,0,0,0,0,774
2019-09-16,17,18,27,0,4,1,3,0,5
2019-02-18,89,0,10,37,10,0,2,7,199
2019-07-15,722,0,0,1,19,0,0,1,19
2020-01-27,0,0,1,0,0,0,1,0,4200
2020-01-13,0,0,1,0,0,0,1,0,2787
2019-03-25,0,0,0,0,0,0,0,0,3399
2019-05-27,15,0,0,0,2,0,0,0,1470
2019-11-04,42,0,0,0,2,0,0,0,4739
2019-12-02,1,0,0,0,1,0,0,0,4892
2020-01-13,0,2,23,0,0,1,2,0,178
2020-02-10,0,0,0,0,0,0,0,0,1195
2020-03-02,2,0,0,0,1,0,0,0,3750
2019-05-13,0,0,0,0,0,0,0,0,2620
2019-11-25,13,1,15,0,2,1,1,0,3166
2019-06-24,352,89,92,0,13,10,10,0,69
2020-02-03,164,1,19,0,3,1,1,0,158
2020-03-30,0,0,0,0,0,0,0,0,1650
2020-03-23,2,0,3,2,1,0,2,1,5013
2019-06-24,21,0,0,27,4,0,0,2,180
2019-11-11,0,0,0,0,0,0,0,0,4032
2019-12-30,0,0,0,0,0,0,0,0,2228
2019-11-18,0,0,3,0,0,0,2,0,4007
2019-02-18,4,0,0,0,1,0,0,0,3151
2020-01-27,224,0,56,8,5,0,3,2,131
2020-07-06,4,25,0,0,1,1,0,0,2544
2019-09-16,10,2,0,0,1,1,0,0,372
2020-04-13,6,4,0,0,1,2,0,0,1430
2019-02-18,90,14,0,0,3,1,0,0,3813
2019-06-24,2,0,0,0,1,0,0,0,111
2020-04-20,49,61,0,0,9,6,0,0,173
2020-06-01,123,0,1,0,4,0,1,0,186
2020-04-20,11,0,0,1,2,0,0,1,3805
2019-01-21,1,0,1,0,1,0,1,0,4845
2020-05-11,0,0,0,0,0,0,0,0,2575
2019-10-07,1,0,5,0,1,0,1,0,137
2019-09-30,11,0,0,0,1,0,0,0,2327
2020-06-08,0,0,0,0,0,0,0,0,1315
2019-07-15,17,0,0,0,1,0,0,0,1198
2019-04-08,0,0,0,0,0,0,0,0,4198
2019-12-30,0,0,0,0,0,0,0,0,93
2019-10-07,0,0,0,0,0,0,0,0,4219
2019-08-12,7,8,0,0,1,1,0,0,3041
2019-06-17,0,0,0,0,0,0,0,0,378
2020-04-27,61,0,0,0,12,0,0,0,180
2019-07-08,2,1,1,0,1,1,1,0,3025
2019-12-16,170,15,1,0,2,2,1,0,4404
2020-03-30,13,0,1,7,1,0,1,1,119
2019-04-29,0,0,0,0,0,0,0,0,1999
2020-03-30,0,0,0,0,0,0,0,0,2499
2020-06-08,9,0,0,0,2,0,0,0,38
2019-04-22,22,5,20,0,1,1,1,0,50
2020-03-09,0,0,0,0,0,0,0,0,1901
2020-04-13,0,0,0,0,0,0,0,0,566
2019-07-15,0,0,0,0,0,0,0,0,3068
2020-05-25,13,0,0,0,1,0,0,0,2536
2019-09-09,0,0,0,0,0,0,0,0,1102
2020-03-02,141,34,60,2,6,5,7,1,73
2020-03-02,37,37,4,2,2,3,1,2,103
2020-01-20,0,0,22,0,0,0,1,0,3712
2020-04-20,57,0,0,0,5,0,0,0,157
2019-10-07,1,0,0,1,1,0,0,1,5197
2020-02-17,0,0,0,0,0,0,0,0,339
2020-07-20,7,8,0,0,1,2,0,0,46
2020-02-03,1,0,0,0,1,0,0,0,116
2019-07-15,0,0,0,0,0,0,0,0,3416
2020-02-03,11,1,0,0,1,1,0,0,4739
