ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,id
16000001.0,26 to 50,ACCOUNTING,4379
8197.0,201 to 1000,Finance & Insurance,2073
16000001.0,6 to 10,Technology - Services,2416
7183355.0,6 to 10,Marketing and Advertising,1488
198.0,2 to 5,Technology - Software,1524
16000001.0,26 to 50,Technology - Software,3604
1154768.0,26 to 50,HEALTH_WELLNESS_AND_FITNESS,328
98668.0,51 to 200,Consulting/Advisory,2997
13989.0,1001 to 10000,RESEARCH,2602
146251.0,201 to 1000,BUSINESS_SUPPLIES_AND_EQUIPMENT,1263
16000001.0,6 to 10,Marketing and Advertising,4884
16000001.0,6 to 10,Consulting/Advisory,1136
171982.0,1001 to 10000,EDUCATION_MANAGEMENT,703
16000001.0,51 to 200,Technology - Software,3822
16000001.0,26 to 50,Technology - Software,4059
196060.0,1001 to 10000,Finance and Insurance,2034
16000001.0,1001 to 10000,TELECOMMUNICATIONS,694
50.0,51 to 200,Mktg / PR / Web / SEO,3927
3085304.0,11 to 25,Technology - Software,4419
16000001.0,201 to 1000,Education,2344
16000001.0,26 to 50,RESTAURANTS,2139
16000001.0,6 to 10,INSURANCE,2944
47572.0,1001 to 10000,Education,628
20656.0,201 to 1000,ARCHITECTURE_PLANNING,1741
1261386.0,51 to 200,Education,2347
616623.0,26 to 50,Marketing and Advertising,4183
491557.0,26 to 50,TELECOMMUNICATIONS,3018
6549227.0,6 to 10,MUSIC,4874
10526362.0,1001 to 10000,Manufacturing,5054
7690842.0,6 to 10,LEISURE_TRAVEL_TOURISM,4778
5493244.0,11 to 25,Non Profit,3009
354.0,2 to 5,Marketing Services,3817
16000001.0,2 to 5,PRINTING,2835
175.0,1001 to 10000,Technology - Software,1540
16000001.0,201 to 1000,Finance and Insurance,3271
1787.0,"10,001 or more",NON_PROFIT_ORGANIZATION_MANAGEMENT,4685
2099230.0,6 to 10,Technology - Software,1965
16000001.0,6 to 10,Technology - Services,2557
248717.0,1001 to 10000,Education,4758
1269016.0,26 to 50,CONSUMER_GOODS,2481
16000001.0,1001 to 10000,Technology - Software,3450
16000001.0,1001 to 10000,Advertising,4217
5893292.0,11 to 25,Technology - Software,3517
2069552.0,201 to 1000,BANKING,3333
4703620.0,6 to 10,AUTOMOTIVE,3207
47042.0,1001 to 10000,Education,3643
8649858.0,11 to 25,Technology - Software,1029
5414370.0,51 to 200,Marketing and Advertising,615
4423622.0,26 to 50,Manufacturing,2824
16000001.0,6 to 10,Technology - Software,3589
113376.0,51 to 200,Technology - Services,5191
28605.0,26 to 50,Technology - Software,2699
16000001.0,11 to 25,PRINTING,2844
947362.0,6 to 10,Consulting/Advisory,432
12255.0,6 to 10,STAFFING_AND_RECRUITING,5046
54411.0,11 to 25,PUBLISHING,3088
51636.0,1001 to 10000,Education,2727
3393881.0,26 to 50,CONSTRUCTION,4880
486137.0,51 to 200,Education,3556
461842.0,26 to 50,Technology - Software,3660
50019.0,11 to 25,Non-Profit,1977
8316345.0,6 to 10,ACCOUNTING,3035
2263718.0,26 to 50,Marketing Services,3733
2765355.0,51 to 200,RETAIL,3662
16000001.0,1001 to 10000,Technology - Software,4432
16000001.0,6 to 10,Marketing and Advertising,3385
16000001.0,1001 to 10000,Education,1073
27606.0,1001 to 10000,Technology - Software,5072
2993136.0,26 to 50,Technology - Services,2201
16000001.0,6 to 10,Technology - Services,2247
3964.0,1001 to 10000,Technology - Services,3809
9261.0,1001 to 10000,Education,1754
16000001.0,6 to 10,Marketing and Advertising,2109
287380.0,1001 to 10000,Marketing Services,4940
16000001.0,201 to 1000,Marketing and Advertising,1126
2789752.0,11 to 25,HEALTH_WELLNESS_AND_FITNESS,3443
16000001.0,6 to 10,Finance,3891
16000001.0,2 to 5,REAL_ESTATE,4861
16000001.0,51 to 200,Technology - Software,4151
16000001.0,2 to 5,Marketing and Advertising,2762
16000001.0,"10,001 or more",Education,5064
40.0,"10,001 or more",Media,4637
3445551.0,26 to 50,ARCHITECTURE_PLANNING,1449
1744062.0,11 to 25,Marketing Services,4158
2287670.0,201 to 1000,Marketing and Advertising,2640
195319.0,1001 to 10000,Manufacturing,3103
16000001.0,201 to 1000,LAW_ENFORCEMENT,470
76091.0,1001 to 10000,Banking and Finance,2771
283440.0,26 to 50,Information Technology & Services,1081
16000001.0,51 to 200,LEGAL_SERVICES,3505
5797333.0,26 to 50,INSURANCE,383
6771655.0,26 to 50,CONSUMER_ELECTRONICS,3446
466190.0,1001 to 10000,Manufacturing,952
2623758.0,26 to 50,Other,2620
110542.0,1001 to 10000,LEISURE_TRAVEL_TOURISM,973
1475227.0,201 to 1000,RESTAURANTS,1798
16000001.0,51 to 200,AIRLINES_AVIATION,302
796400.0,6 to 10,CONSUMER_GOODS,2054
16000001.0,1,MANAGEMENT_CONSULTING,665
16000001.0,6 to 10,Technology - Software,2113
16000001.0,201 to 1000,CIVIL_ENGINEERING,3716
16000001.0,51 to 200,Technology - Software,3019
503753.0,51 to 200,Education,3307
2542985.0,26 to 50,CHEMICALS,3642
4068262.0,201 to 1000,BUSINESS_SUPPLIES_AND_EQUIPMENT,3746
16000001.0,6 to 10,CONSTRUCTION,851
440875.0,26 to 50,Technology - Services,3924
34300.0,1001 to 10000,Education,5176
16000001.0,6 to 10,FURNITURE,1335
15079.0,201 to 1000,CONSUMER_GOODS,3476
16000001.0,51 to 200,WHOLESALE,2548
16000001.0,6 to 10,CIVIL_ENGINEERING,3371
16000001.0,6 to 10,Technology - Services,1077
16000001.0,11 to 25,CONSTRUCTION,3008
289485.0,6 to 10,Technology - Software,2577
992957.0,26 to 50,FINANCIAL_SERVICES,4069
6805715.0,6 to 10,CONSUMER_GOODS,3281
16000001.0,6 to 10,FOOD_BEVERAGES,4496
27791.0,201 to 1000,EDUCATION_MANAGEMENT,2663
16000001.0,6 to 10,LEISURE_TRAVEL_TOURISM,1154
82603.0,1001 to 10000,Education,3877
4393.0,201 to 1000,Technology - Software,889
238.0,1001 to 10000,Technology - Software,1483
2041981.0,6 to 10,Technology - Software,4858
182793.0,201 to 1000,Education,3644
2478765.0,51 to 200,ELECTRICAL_ELECTRONIC_MANUFACTURING,2154
2142188.0,26 to 50,Marketing Services,2910
16000001.0,26 to 50,Agriculture,4602
16000001.0,6 to 10,Technology - Software,1808
16000001.0,6 to 10,RESTAURANTS,4525
3785.0,"10,001 or more",Other,1551
125342.0,26 to 50,TELECOMMUNICATIONS,2208
1154159.0,6 to 10,MEDICAL_PRACTICE,2183
16000001.0,6 to 10,ACCOUNTING,3024
1205.0,201 to 1000,eCommerce,1233
16000001.0,2 to 5,Technology - Software,1730
23661.0,11 to 25,Education,966
5992417.0,6 to 10,Education,4692
158823.0,6 to 10,Technology - Software,2256
1500134.0,51 to 200,DESIGN,2295
2578.0,201 to 1000,Other,3698
16000001.0,1001 to 10000,Healthcare - Services/Providers,399
2589675.0,201 to 1000,PRIMARY_SECONDARY_EDUCATION,2359
164772.0,2 to 5,Education,2371
7962617.0,11 to 25,Technology - Software,3632
54467.0,1001 to 10000,Education,5183
5335774.0,6 to 10,Technology - Services,3114
1281747.0,11 to 25,Marketing and Advertising,3191
10596.0,1001 to 10000,Media,677
3764529.0,51 to 200,Technology - Software,1452
5790549.0,6 to 10,Technology - Software,344
5872566.0,11 to 25,INFORMATION_SERVICES,4994
105151.0,51 to 200,ONLINE_MEDIA,4541
268491.0,51 to 200,Marketing and Advertising,2945
392112.0,26 to 50,CIVIC_SOCIAL_ORGANIZATION,4558
16000001.0,6 to 10,Marketing and Advertising,4687
16000001.0,6 to 10,Healthcare,1084
1922559.0,51 to 200,Technology - Software,4853
16000001.0,51 to 200,ENVIRONMENTAL_SERVICES,4273
462329.0,11 to 25,"Government, Public Admin",3387
143683.0,201 to 1000,PRIMARY_SECONDARY_EDUCATION,993
16000001.0,26 to 50,FINANCIAL_SERVICES,3001
5327214.0,11 to 25,Education,3337
1630884.0,1001 to 10000,Technology - Hardware and Equipment,1306
1393925.0,51 to 200,RESTAURANTS,3621
16000001.0,201 to 1000,OIL_ENERGY,2874
3419627.0,51 to 200,TRANSLATION_AND_LOCALIZATION,715
16000001.0,6 to 10,STAFFING_AND_RECRUITING,3953
10056870.0,51 to 200,CONSUMER_GOODS,1925
789626.0,6 to 10,REAL_ESTATE,765
16000001.0,1001 to 10000,Other,4720
2186592.0,51 to 200,EDUCATION_MANAGEMENT,1914
5833188.0,26 to 50,RELIGIOUS_INSTITUTIONS,4305
2886469.0,6 to 10,COMMERCIAL_REAL_ESTATE,4933
30684.0,1001 to 10000,Education,2891
379882.0,1001 to 10000,Other services,1376
358353.0,6 to 10,APPAREL_FASHION,926
16000001.0,51 to 200,IMPORT_AND_EXPORT,839
16000001.0,1001 to 10000,Finance and Insurance,2828
16000001.0,26 to 50,CHEMICALS,1947
421599.0,11 to 25,Software / IT,1417
15212.0,1001 to 10000,Consumer Products,573
4212962.0,6 to 10,Marketing and Advertising,2589
548011.0,1001 to 10000,TELECOMMUNICATIONS,612
16000001.0,201 to 1000,FOOD_BEVERAGES,4363
236759.0,201 to 1000,CONSUMER_GOODS,4030
129753.0,1001 to 10000,Education,3880
1417820.0,51 to 200,RETAIL,4572
13643.0,"10,001 or more",BUSINESS_SUPPLIES_AND_EQUIPMENT,544
694830.0,51 to 200,Other,3367
790136.0,11 to 25,RESTAURANTS,3213
496787.0,51 to 200,Education,2351
16000001.0,51 to 200,Technology - Software,3720
16000001.0,6 to 10,ARCHITECTURE_PLANNING,3424
627737.0,51 to 200,ELECTRICAL_ELECTRONIC_MANUFACTURING,2837
16000001.0,6 to 10,PROGRAM_DEVELOPMENT,5096
8497.0,26 to 50,OUTSOURCING_OFFSHORING,3613
5044.0,1001 to 10000,Education,3975
16000001.0,26 to 50,AVIATION_AEROSPACE,2284
4104824.0,6 to 10,MANAGEMENT_CONSULTING,3206
25138.0,201 to 1000,PUBLISHING,2652
1039248.0,201 to 1000,Consulting/Advisory,387
16000001.0,26 to 50,BUILDING_MATERIALS,824
16000001.0,51 to 200,MARKET_RESEARCH,1612
3668655.0,51 to 200,Technology - Software,4875
64639.0,201 to 1000,RETAIL,4651
4035608.0,26 to 50,CHEMICALS,4234
16000001.0,6 to 10,GLASS_CERAMICS_CONCRETE,4787
140828.0,26 to 50,PUBLISHING,5021
16000001.0,11 to 25,Technology - Services,648
16000001.0,2 to 5,Software / IT,1010
16000001.0,6 to 10,Marketing and Advertising,1138
370396.0,201 to 1000,Technology - Software,2766
182269.0,11 to 25,AUTOMOTIVE,1125
16000001.0,51 to 200,Technology - Services,3116
16000001.0,201 to 1000,SEMICONDUCTORS,4948
40853.0,201 to 1000,Technology - Software,4058
2121.0,"10,001 or more",Automotive & Transport,2965
12552.0,1001 to 10000,Education,1733
16000001.0,51 to 200,FOOD_BEVERAGES,2265
81706.0,1001 to 10000,Manufacturing,3929
16000001.0,1001 to 10000,Technology - Services,224
5376413.0,6 to 10,Technology - Software,3607
16000001.0,26 to 50,FINANCIAL_SERVICES,2992
172095.0,201 to 1000,Technology - Software,1822
16000001.0,2 to 5,Education,555
7638194.0,6 to 10,Technology - Software,1174
16000001.0,11 to 25,NON_PROFIT_ORGANIZATION_MANAGEMENT,3797
16000001.0,6 to 10,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,653
16000001.0,1,Technology - Software,4207
210601.0,26 to 50,Technology - Software,4252
15432.0,1001 to 10000,Education,1875
6688056.0,26 to 50,Technology - Software,4915
1027027.0,201 to 1000,FOOD_PRODUCTION,4958
16000001.0,6 to 10,TELECOMMUNICATIONS,2789
560.0,1001 to 10000,Technology - Software,3042
7448920.0,2 to 5,LEISURE_TRAVEL_TOURISM,4510
16000001.0,201 to 1000,CONSUMER_GOODS,3441
242725.0,26 to 50,NON_PROFIT_ORGANIZATION_MANAGEMENT,892
6130.0,6 to 10,Technology - Software,857
52635.0,201 to 1000,Education,3193
16000001.0,51 to 200,Education,4954
34552.0,26 to 50,NEWSPAPERS,1354
495620.0,201 to 1000,ELECTRICAL_ELECTRONIC_MANUFACTURING,3091
342454.0,51 to 200,Technology - Services,4832
81340.0,1001 to 10000,Manufacturing,1291
3323515.0,6 to 10,Manufacturing,2878
16000001.0,6 to 10,Consulting,4054
5786818.0,26 to 50,Healthcare,962
3834361.0,26 to 50,Marketing and Advertising,1380
69382.0,1001 to 10000,Education,1403
10656700.0,51 to 200,Other,2800
71914.0,26 to 50,Education,3434
173639.0,201 to 1000,Education,4148
2802961.0,2 to 5,RENEWABLES_ENVIRONMENT,5065
14.0,1001 to 10000,Technology - Software,1355
3194577.0,201 to 1000,Consulting/Advisory,3887
155023.0,1001 to 10000,Non Profit/EDU/.gov,366
16000001.0,11 to 25,ENVIRONMENTAL_SERVICES,2446
3316297.0,51 to 200,INSURANCE,2397
16000001.0,6 to 10,APPAREL_FASHION,519
38208.0,1001 to 10000,Manufacturing,5143
16000001.0,6 to 10,Marketing and Advertising,2190
32955.0,1001 to 10000,Education,4980
2252535.0,201 to 1000,CONSUMER_GOODS,1500
5667326.0,6 to 10,Technology - Software,4756
1518920.0,26 to 50,Technology - Software,4253
2695391.0,26 to 50,CONSUMER_SERVICES,951
27332.0,1001 to 10000,Other,1507
1356896.0,26 to 50,CONSUMER_SERVICES,2293
2118.0,201 to 1000,REAL_ESTATE,2296
16000001.0,1,HUMAN_RESOURCES,4214
69861.0,51 to 200,RETAIL,3950
5073802.0,6 to 10,SPORTS,2648
16000001.0,51 to 200,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,2569
16000001.0,1001 to 10000,Education,3469
16000001.0,26 to 50,NON_PROFIT_ORGANIZATION_MANAGEMENT,1218
1740005.0,201 to 1000,RETAIL,514
16000001.0,6 to 10,FOOD_PRODUCTION,610
1238621.0,26 to 50,Technology - Software,1481
2337187.0,51 to 200,Technology - Software,3946
16000001.0,"10,001 or more",Education,2510
10001833.0,1,Marketing and Advertising,1689
259109.0,"10,001 or more",ENVIRONMENTAL_SERVICES,3290
3826.0,1001 to 10000,ENTERTAINMENT,3361
907211.0,6 to 10,Technology - Software,3895
16000001.0,1001 to 10000,Education,2960
150052.0,201 to 1000,Education,3043
16000001.0,26 to 50,Technology - Software,3301
6757.0,201 to 1000,Consulting/Advisory,1734
399.0,201 to 1000,SaaS,270
4027.0,6 to 10,Finance and Insurance,3039
6555.0,"10,001 or more",Consulting/Advisory,2723
65379.0,1001 to 10000,Education,1298
2691169.0,51 to 200,NON_PROFIT_ORGANIZATION_MANAGEMENT,4749
16000001.0,51 to 200,IMPORT_AND_EXPORT,837
6595.0,51 to 200,ENTERTAINMENT,3027
4284634.0,51 to 200,ARCHITECTURE_PLANNING,4044
16000001.0,6 to 10,Technology - Software,3865
2737115.0,6 to 10,Technology - Software,2725
3642265.0,201 to 1000,EDUCATION_MANAGEMENT,5126
2466436.0,201 to 1000,ARCHITECTURE_PLANNING,532
59778.0,1001 to 10000,COSMETICS,2253
45348.0,6 to 10,Technology - Services,1593
686397.0,26 to 50,FINANCIAL_SERVICES,4406
16000001.0,11 to 25,STAFFING_AND_RECRUITING,1672
903174.0,11 to 25,Technology - Software,5090
45161.0,51 to 200,Manufacturing,4199
71905.0,201 to 1000,Education,4621
16000001.0,6 to 10,FACILITIES_SERVICES,2624
3088354.0,201 to 1000,EDUCATION_MANAGEMENT,4658
16000001.0,11 to 25,"Building, Construction And Architecture",2821
50019.0,11 to 25,Non-Profit,1976
5114199.0,51 to 200,Technology - Software,2606
14664.0,1001 to 10000,Technology - Software,4045
16000001.0,11 to 25,Technology - Software,2292
6610.0,201 to 1000,Education,2717
1171658.0,6 to 10,BROADCAST_MEDIA,1732
16000001.0,6 to 10,ustedes,1791
16000001.0,6 to 10,Healthcare,4836
3543848.0,51 to 200,Other,1237
16000001.0,6 to 10,CONSTRUCTION,4515
16000001.0,6 to 10,BIOTECHNOLOGY,3645
26685.0,1001 to 10000,Healthcare,1311
10584.0,1001 to 10000,Education,1797
8295196.0,201 to 1000,LOGISTICS_AND_SUPPLY_CHAIN,4792
80453.0,1001 to 10000,Education,1830
17006.0,51 to 200,APPAREL_FASHION,4694
16000001.0,26 to 50,Marketing and Advertising,2156
251616.0,1001 to 10000,EVENTS_SERVICES,1928
16000001.0,6 to 10,Marketing and Advertising,1476
39592.0,201 to 1000,RETAIL,223
16000001.0,26 to 50,PRINTING,2877
1087276.0,201 to 1000,EDUCATION_MANAGEMENT,4697
1730651.0,51 to 200,NON_PROFIT_ORGANIZATION_MANAGEMENT,922
34300.0,1001 to 10000,Education,5175
187951.0,51 to 200,REAL_ESTATE,215
866680.0,1001 to 10000,Technology,3294
16000001.0,26 to 50,PRINTING,5033
16000001.0,201 to 1000,Business Consulting,4421
91785.0,201 to 1000,EDUCATION_MANAGEMENT,4293
103166.0,201 to 1000,EDUCATION_MANAGEMENT,633
16000001.0,1001 to 10000,Other,981
159546.0,1001 to 10000,Other,1438
24776.0,1001 to 10000,Healthcare,3353
278712.0,1001 to 10000,Education,804
5389086.0,26 to 50,MANAGEMENT_CONSULTING,3581
16000001.0,11 to 25,Marketing and Advertising,2472
16000001.0,6 to 10,EVENTS_SERVICES,320
193458.0,201 to 1000,Technology - Software,3033
162103.0,51 to 200,Education,1826
5238.0,51 to 200,CAPITAL_MARKETS,1251
7879462.0,6 to 10,FINANCIAL_SERVICES,4765
16000001.0,6 to 10,CONSTRUCTION,3963
1421038.0,201 to 1000,Marketing and Advertising,4084
16026.0,201 to 1000,Consulting/Advisory,4053
2189446.0,26 to 50,EDUCATION_MANAGEMENT,2702
415269.0,"10,001 or more",Healthcare,971
6610.0,201 to 1000,Education,2718
430536.0,1001 to 10000,RESTAURANTS,566
3772095.0,11 to 25,Technology - Software,4809
4274.0,1001 to 10000,Education,4236
1045803.0,51 to 200,TRANSPORTATION_TRUCKING_RAILROAD,2865
794159.0,26 to 50,Marketing and Advertising,882
1962176.0,26 to 50,SECURITY_AND_INVESTIGATIONS,1092
16000001.0,6 to 10,CONSTRUCTION,5167
2570141.0,6 to 10,EVENTS_SERVICES,3998
30684.0,1001 to 10000,Education,2890
49602.0,1001 to 10000,Technology,535
8606.0,201 to 1000,LEISURE_TRAVEL_TOURISM,4581
16000001.0,6 to 10,MUSIC,619
122008.0,1001 to 10000,Manufacturing,3692
1181353.0,51 to 200,Marketing and Advertising,4823
1000001.0,"10,001 or more",Marketing and Advertising,4397
16000001.0,201 to 1000,Education,4540
16000001.0,6 to 10,ENTERTAINMENT,4181
4379527.0,201 to 1000,Healthcare,5094
16000001.0,26 to 50,Technology - Software,1601
1970194.0,26 to 50,Technology - Services,1055
155691.0,201 to 1000,PUBLISHING,4828
58796.0,1001 to 10000,CONSUMER_SERVICES,278
6429136.0,51 to 200,Education,4165
58796.0,1001 to 10000,CONSUMER_SERVICES,280
1477182.0,201 to 1000,Other,2636
387438.0,11 to 25,AUTOMOTIVE,5082
780043.0,2 to 5,Asesoría de Marketing,1927
472697.0,51 to 200,Education,4246
6174413.0,26 to 50,HOSPITALITY,2918
7779619.0,26 to 50,Marketing Services,331
8553955.0,201 to 1000,Healthcare,1014
16000001.0,201 to 1000,PROFESSIONAL_TRAINING_COACHING,5166
10180.0,1001 to 10000,Non-Profit,3184
496104.0,51 to 200,RESEARCH,787
8388387.0,51 to 200,Marketing and Advertising,588
10552.0,1001 to 10000,CONSUMER_SERVICES,3481
796113.0,201 to 1000,BUILDING_MATERIALS,4043
69400.0,201 to 1000,Technology - Software,3495
16000001.0,6 to 10,E_LEARNING,286
16000001.0,201 to 1000,HUMAN_RESOURCES,3399
86837.0,201 to 1000,Education,277
462673.0,6 to 10,Technology - Software,4332
840627.0,51 to 200,Technology - Software,3843
16000001.0,6 to 10,Marketing and Advertising,3931
559957.0,26 to 50,TRANSPORTATION_TRUCKING_RAILROAD,1490
80453.0,1001 to 10000,Education,1831
2355089.0,2 to 5,E_LEARNING,4747
16000001.0,26 to 50,Technology - Software,1879
72672.0,51 to 200,Education,2609
398534.0,201 to 1000,AIRLINES_AVIATION,2290
302178.0,26 to 50,PUBLISHING,4296
10722554.0,26 to 50,E_LEARNING,4370
2044743.0,6 to 10,Consumer Products,1473
431252.0,1001 to 10000,ELECTRICAL_ELECTRONIC_MANUFACTURING,2384
3044909.0,11 to 25,Education,1153
1236492.0,201 to 1000,Finance and Insurance,523
577368.0,1001 to 10000,Manufacturing,1256
226454.0,6 to 10,Technology - Software,4975
16000001.0,11 to 25,EVENTS_SERVICES,560
16000001.0,11 to 25,REAL_ESTATE,936
15212.0,1001 to 10000,Consumer Products,571
16000001.0,6 to 10,LEISURE_TRAVEL_TOURISM,3976
16000001.0,6 to 10,NON_PROFIT_ORGANIZATION_MANAGEMENT,467
16000001.0,11 to 25,real estate,1461
1273782.0,51 to 200,Technology - Software,877
4131974.0,201 to 1000,LEISURE_TRAVEL_TOURISM,2990
98433.0,1001 to 10000,Education,4538
836207.0,6 to 10,BUILDING_MATERIALS,3996
16000001.0,6 to 10,BUILDING_MATERIALS,3591
16000001.0,6 to 10,MACHINERY,4228
2192659.0,6 to 10,RETAIL,1188
16000001.0,201 to 1000,FINANCIAL_SERVICES,2619
990345.0,51 to 200,Technology - Services,1318
16000001.0,26 to 50,RELIGIOUS_INSTITUTIONS,3709
16000001.0,6 to 10,RECREATIONAL_FACILITIES_AND_SERVICES,1706
541686.0,6 to 10,Technology - Software,4726
587711.0,201 to 1000,CIVIC_SOCIAL_ORGANIZATION,3240
138261.0,1001 to 10000,Education,2092
16000001.0,26 to 50,REAL_ESTATE,4249
16000001.0,26 to 50,HUMAN_RESOURCES,1768
7744890.0,6 to 10,Technology - Software,3007
16000001.0,2 to 5,CONSUMER_SERVICES,1435
2740644.0,201 to 1000,CONSUMER_ELECTRONICS,2847
76177.0,1001 to 10000,Education,2273
5865967.0,6 to 10,Healthcare,5010
16000001.0,6 to 10,FARMING,1657
14550.0,1001 to 10000,Business Services - General,671
8075967.0,11 to 25,Technology - Software,733
93546.0,1001 to 10000,Education,4965
586935.0,6 to 10,FINANCIAL_SERVICES,3436
28266.0,201 to 1000,Consulting/Advisory,220
1684657.0,51 to 200,Technology - Software,385
16000001.0,51 to 200,FINANCIAL_SERVICES,3823
137472.0,201 to 1000,CONSUMER_SERVICES,2647
722.0,1001 to 10000,CONSUMER_SERVICES,4100
16000001.0,6 to 10,PHARMACEUTICALS,917
16000001.0,6 to 10,MARKET_RESEARCH,4483
16000001.0,26 to 50,CONSTRUCTION,1948
16000001.0,2 to 5,PHOTOGRAPHY,4554
16000001.0,26 to 50,RETAIL,3512
1838428.0,201 to 1000,Other,2323
8408214.0,6 to 10,Technology - Software,4993
16000001.0,6 to 10,REAL_ESTATE,3345
16000001.0,6 to 10,Technology - Software,3277
10041129.0,26 to 50,Technology - Services,3636
16000001.0,26 to 50,AUTOMOTIVE,4407
104012.0,6 to 10,Technology - Software,1783
14606.0,1001 to 10000,B2C Services,4050
165080.0,51 to 200,FINANCIAL_SERVICES,4153
4209303.0,201 to 1000,EDUCATION_MANAGEMENT,265
1295502.0,51 to 200,REAL_ESTATE,3728
1590482.0,51 to 200,MANAGEMENT_CONSULTING,3390
179.0,2 to 5,Finance and Insurance,3155
115784.0,51 to 200,Education,723
181845.0,26 to 50,PUBLIC_RELATIONS_AND_COMMUNICATIONS,4812
497053.0,201 to 1000,Education,2916
813619.0,6 to 10,Coaching/Business Services,1226
781574.0,1001 to 10000,LOGISTICS_AND_SUPPLY_CHAIN,4083
123977.0,201 to 1000,REAL_ESTATE,1401
16000001.0,26 to 50,BUSINESS_SUPPLIES_AND_EQUIPMENT,4822
217.0,26 to 50,Technology - Software,5161
3720731.0,201 to 1000,ELECTRICAL_ELECTRONIC_MANUFACTURING,4753
10527.0,1001 to 10000,Health/Fitness,3658
16000001.0,6 to 10,FINANCIAL_SERVICES,3487
430747.0,1001 to 10000,Real Estate & Construction,568
16000001.0,6 to 10,Marketing and Advertising,1805
500781.0,1001 to 10000,Marketing and Advertising,896
16000001.0,1001 to 10000,AIRLINES_AVIATION,4485
1252933.0,6 to 10,REAL_ESTATE,4754
42001.0,1001 to 10000,REAL_ESTATE,5019
542012.0,201 to 1000,Other,2270
16000001.0,2 to 5,Business Consulting,4254
16000001.0,26 to 50,PHOTOGRAPHY,4324
3872387.0,201 to 1000,Technology - Services,3687
5708809.0,26 to 50,Marketing and Advertising,2547
106000.0,201 to 1000,RETAIL,814
9762.0,201 to 1000,Finance and Insurance,2491
60686.0,1001 to 10000,REAL_ESTATE,5012
16000001.0,6 to 10,Technology - Software,2925
790235.0,1001 to 10000,Recruiting/Staffing,853
10611777.0,2 to 5,Education,2962
16000001.0,51 to 200,Technology - Services,4655
5167988.0,6 to 10,WHOLESALE,3787
325998.0,6 to 10,Technology - Software,1346
16000001.0,51 to 200,PACKAGING_AND_CONTAINERS,1098
3334667.0,11 to 25,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,1535
1812327.0,201 to 1000,TELECOMMUNICATIONS,4949
80805.0,11 to 25,Coaching/Business Services,5092
16000001.0,6 to 10,PUBLIC_RELATIONS_AND_COMMUNICATIONS,932
856.0,201 to 1000,Technology - Software,3841
16000001.0,26 to 50,Technology - Software,2875
332852.0,51 to 200,LEISURE_TRAVEL_TOURISM,3483
16000001.0,6 to 10,Marketing and Advertising,4079
4139066.0,51 to 200,LEISURE_TRAVEL_TOURISM,2625
578396.0,51 to 200,Marketing and Advertising,3046
16000001.0,6 to 10,Technology - Software,4251
3401826.0,51 to 200,Technology - Services,1904
